species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
white sturgeon,Acipenser transmontanus,Acipenseridae,freshwater,Canada,132,45,34,Y,,VU,piscivory; invertivory,anadromous,1828.7,adult,Endangered Species Research,3,Jetter et al. 2023,
muskellunge,Esox masquinongy,Esocidae,freshwater,Canada,23,18,78,N,,LC,piscivory,resident,715.9,,Hydrobiologia,2.6,Bergman et al. 2023,
Arctic char,Salvelinus alpinus,Salmonidae,freshwater,Canada,188,158,84,N,,LC,piscivory; invertivory,anadromous,725,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Munaweera et al. 2022,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,90,33,37,N,,LC,piscivory; invertivory,anadromous,716,adult,Journal of Fish Biology,2,Burke et al. 2022,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,110,34,31,N,,LC,piscivory; invertivory,anadromous,603,,Environmental Biology of Fishes,1.6,Hammer et al. 2022,
Greenland halibut,Reinhardtius hippoglossoides,Pleuronectidae,marine,Canada,255,224,88,,,NT,piscivory; invertivory,resident,690,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Lees et al. 2022,
lake whitefish,Coregonus clupeaformis,Salmonidae,freshwater,Canada,5,,0,N,,NE,invertivory,resident,584,,Environmental Biology of Fishes,1.6,Rodrigues et al. 2022,
Atlantic Bluefin tuna,Thunnus thynnus,Scombridae,marine,Canada,188,100,53,Y,,LC,piscivory,resident,251.5,,Frontiers in Marine Science,3.7,Whitlock et al. 2022,
striped bass ,Morone saxatilis,Moronidae,marine,Canada,69,,,Y,,LC,piscivory,resident,,,Frontiers in Marine Science,3.7,Bangley et al. 2022,
raibow trout,Oncorhynchus mykiss,Salmonidae,freshwater,Canada,51,42,82,N,,NE,piscivory; invertivory,anadromous,405.5,,Water Resources Research,5.4,Algera et al. 2022,
moutain whitefish,Prosopium williamsoni,Salmonidae,freshwater,Canada,41,19,46,N,,NE,invertivory,resident,404.5,,Water Resources Research,5.4,Algera et al. 2022,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,165,149,90,N,,LC,piscivory; invertivory,anadromous,709,adult,Journal of Fish Biology,2,Smith et al. 2022,
